bilesen_1;bilesen_2;siddet (CONTRAINDICATED/MAJOR/MODERATE/MINOR);klinisyene gosterilecek not;DURUM (onay/düzelt/sil);NOTUNUZ
linezolid;escitalopram;CONTRAINDICATED;"Serotonin sendromu; birlikte kullanılmamalıdır.";;
linezolid;venlafaxine;CONTRAINDICATED;"Serotonin sendromu; birlikte kullanılmamalıdır.";;
sertraline;warfarin;MODERATE;"SSRI trombosit fonksiyonunu bozar; kanama riski artar.";;
escitalopram;warfarin;MODERATE;"SSRI trombosit fonksiyonunu bozar; kanama riski artar.";;
sertraline;ibuprofen;MODERATE;SSRI ile NSAİİ birlikte gastrointestinal kanama riskini artırır.;;
escitalopram;diclofenac;MODERATE;SSRI ile NSAİİ birlikte gastrointestinal kanama riskini artırır.;;
amiodarone;clarithromycin;MAJOR;QT uzaması ve aritmi riski.;;
amiodarone;levofloxacin;MAJOR;QT uzaması ve aritmi riski.;;
amiodarone;ondansetron;MODERATE;QT uzaması riski artar.;;
escitalopram;levofloxacin;MODERATE;QT uzaması riski artar.;;
amiodarone;digoxin;MAJOR;"Amiodaron digoksin düzeyini yükseltir; doz azaltılmalı.";;
amiodarone;simvastatin;MAJOR;"Rabdomiyoliz riski; simvastatin dozu sınırlandırılmalı.";;
digoxin;spironolactone;MODERATE;Spironolakton digoksin düzeyini yükseltebilir.;;
clarithromycin;atorvastatin;MAJOR;"Rabdomiyoliz riski; statin geçici olarak kesilmeli.";;
fluconazole;simvastatin;MAJOR;"Kas hasarı (rabdomiyoliz) riski; kas ağrısı ve CK izlenmeli.";;
fluconazole;atorvastatin;MODERATE;"Statin düzeyi yükselir; kas ağrısı izlenmeli.";;
fluconazole;warfarin;MAJOR;"Flukonazol varfarin etkisini belirgin artırır; INR yükselir.";;
fluconazole;oral-contraceptive;MINOR;"Etkinlik değişebilir; ek korunma önerilir.";;
st-johns-wort;oral-contraceptive;MAJOR;Sarı kantaron doğum kontrol hapının etkinliğini belirgin azaltır.;;
st-johns-wort;warfarin;MAJOR;"Sarı kantaron varfarin etkisini azaltır; INR düşer.";;
st-johns-wort;sertraline;MAJOR;Serotonin sendromu riski.;;
st-johns-wort;escitalopram;MAJOR;Serotonin sendromu riski.;;
ginkgo;warfarin;MODERATE;Ginkgo kanama riskini artırabilir.;;
ginkgo;acetylsalicylic-acid;MODERATE;Ginkgo kanama riskini artırabilir.;;
levothyroxine;pantoprazole;MINOR;Mide asidi azalınca levotiroksin emilimi düşebilir.;;
clopidogrel;pantoprazole;MINOR;"Omeprazole göre etkileşimi zayıftır; pantoprazol tercih edilir.";;
semaglutide;insulin;MAJOR;"Birlikte hipoglisemi riski belirgin artar; insülin dozu azaltılmalı.";;
semaglutide;metformin;MINOR;"Birlikte kullanılabilir; gastrointestinal yan etkiler artabilir.";;
semaglutide;metoclopramide;MODERATE;"İkisi de mide boşalmasını etkiler; bulantı ve kusma artabilir.";;
metoclopramide;domperidone;MODERATE;"İki prokinetik birlikte; yarar artmaz, yan etki riski artar.";;
metoclopramide;sertraline;MODERATE;Ekstrapiramidal yan etki ve serotonin sendromu riski.;;
morphine;tramadol;MODERATE;"İki opioid birlikte; solunum depresyonu riski artar.";;
pethidine;tramadol;MAJOR;Nöbet ve serotonin sendromu riski.;;
pethidine;sertraline;MAJOR;Serotonin sendromu riski.;;
morphine;codeine;MODERATE;"İki opioid birlikte; solunum depresyonu riski artar.";;
metamizole;warfarin;MODERATE;"Metamizol varfarin etkisini artırabilir; INR izlenmeli.";;
tamoxifen;fluoxetine;MAJOR;Fluoksetin tamoksifenin etkin metabolitini azaltır.;;
tamoxifen;warfarin;MAJOR;"Tamoksifen varfarin etkisini artırır; kanama riski.";;
isotretinoin;metamizole;MINOR;Karaciğer enzimleri izlenmeli.;;
